Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Bayanwenduer, Neimeng",38¡37«N,108¡46«E,1340,333,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-26.95,-1.43,
"Bayanwenduer, Neimeng",38¡37«N,108¡46«E,1340,333,dune vegetation,Agropyron cristatum (L.) Gaertn,No,AM,-27.7,1.36,
"Bayanwenduer, Neimeng",38¡37«N,108¡46«E,1340,333,dune vegetation,Artemisia arenaria DC.,No,AM,-27.9,-1.4,
"Zhanggaiaobao, Neimeng",38¡47«N,108¡32«E,1360,331,dune vegetation,Salix psammophila C.Y.Wang et Ch.Y. Yang,No,AM,-27.66,-2.73,
"Zhanggaiaobao, Neimeng",38¡47«N,108¡32«E,1360,331,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-26.43,1.36,
"Zhanggaiaobao, Neimeng",38¡47«N,108¡32«E,1360,331,dune vegetation,Hedysarum scoparium Fisch. Et Mey.,Yes,AM,-27,1.24,
"Zhanggaiaobao, Neimeng",38¡47«N,108¡32«E,1360,331,dune vegetation,Artemisia arenaria DC.,No,AM,-28,-2.17,
"Sumitu, Neimeng",38¡56«N,108¡15«E,1410,282.9,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-25.72,1.56,
"Sumitu, Neimeng",38¡56«N,108¡15«E,1410,282.9,dune vegetation,Artemisia arenaria DC.,No,AM,-24.72,5.25,
"Sumitu, Neimeng",38¡56«N,108¡15«E,1410,282.9,dune vegetation,Artemisia roxburghiana Bess.,No,AM,-25.48,7.07,
"Etuokeqizhongxuchang, Neimeng",39¡08«N,107¡55«E,1500,270,dune vegetation,Artemisia roxburghiana Bess.,No,AM,-27.58,-0.96,
"Etuokeqizhongxuchang, Neimeng",39¡08«N,107¡55«E,1500,270,dune vegetation,Roegntria nutans (Keng) Keng ,No,AM,-26.64,0.32,
"Etuokeqizhongxuchang, Neimeng",39¡08«N,107¡55«E,1500,270,dune vegetation,Agropyron cristatum (L.) Gaertn,No,AM,-25.94,1.83,
"Etuokeqi, Neimeng",39¡15«N,107¡30«E,1360,207.8,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-25.26,1.42,
"Etuokeqi, Neimeng",39¡15«N,107¡30«E,1360,207.8,dune vegetation,Artemisia roxburghiana Bess.,No,AM,-25.96,0.19,
"Etuokeqi, Neimeng",39¡15«N,107¡30«E,1360,207.8,dune vegetation,Agropyron cristatum (L.) Gaertn,No,AM,-25.88,1.07,
"Etuokeqi, Neimeng",39¡15«N,107¡30«E,1360,207.8,dune vegetation,Sophora alopecuroides L.,Yes,AM,-26.76,-2.34,
"Qipanjingzhen, Neimeng",39¡18«N,107¡08«E,1360,171.4,Desert,Agropyron cristatum (L.) Gaertn ,No,AM,-25.17,3.68,
"Qipanjingzhen, Neimeng",39¡18«N,107¡08«E,1360,171.4,Desert,Roegntria nutans (Keng) Keng,No,AM,-24.67,0.19,
"Qipanjingzhen, Neimeng",39¡18«N,107¡08«E,1360,171.4,Desert,Caragana jubata (Pall.) Poir. Var. recurva Lion.,Yes,Non,-28.59,1.76,
"Jilantai1, Neimeng",39¡19«N,105¡56«E,1350,146.5,Desert,Hedysarum mongolicum Turcz.,Yes,AM,-23.44,3.29,
"Jilantai1, Neimeng",39¡19«N,105¡56«E,1350,146.5,Desert,Hedysarum scoparium Fisch. Et Mey.,Yes,AM,-24.22,0.58,
"Jilantai1, Neimeng",39¡19«N,105¡56«E,1350,146.5,Desert,Zygophyllum gobicum Maxim.,No,Non,-28.63,4.14,
"Jilantai2, Neimeng",39¡22«N,105¡42«E,1150,143.9,Desert,Nitraria sibirica Pall.,No,AM,-25.99,7.02,
"Jilantai2, Neimeng",39¡22«N,105¡42«E,1150,143.9,Desert,Peganum harmala L.,No,AM,-26.81,7.67,
"Jilantai3, Neimeng",39¡41«N,105¡43«E,1000,86.5,Desert,Nitraria sibirica Pall.,No,AM,-25.88,6.28,
